VendorName,TotalSalesDollars,TotalPurchaseDollars,GrossProfit,ProfitMargin,StockTurnover
ADAMBA IMPORTS INTL INC,704.53,446.16,258.36999999999995,36.672675400621685,1.205128205128205
ALISA CARR BEVERAGES,104470.94,25698.12,78772.82,75.52688794066606,5.033620565391399
ALTAMAR BRANDS LLC,15706.81,11706.199999999999,4000.6100000000015,24.00748327005731,0.9796875
AMERICAN SPIRITS EXCHANGE,1511.1599999999999,934.08,577.0799999999998,38.187882156753744,0.875
AMERICAN VINTAGE BEVERAGE,139603.53,104435.68,35167.850000000006,24.96983300030233,0.9628009561241511
ATLANTIC IMPORTING COMPANY,59272.75,41116.32,18156.429999999997,57.91964030360654,2.6031793686412743
BACARDI USA INC,24854817.14,17432020.26,7422796.88,39.444904371151985,2.878103456527564
BANFI PRODUCTS CORP,2632085.13,1608143.72,1023941.41,37.558398778217835,1.3963137150319893
BLACK PRINCE DISTILLERY INC,11601.199999999999,5854.94,5746.259999999999,36.50582886594842,1.243165387609832
BLACK ROCK SPIRITS LLC,2049.18,1152.1,897.0799999999999,43.77751100440176,1.0
BRONCO WINE COMPANY,2217.1,1748.26,468.8399999999999,21.569329360417377,0.866950585961097
BROWN-FORMAN CORP,18247230.65,13238939.18,5008291.47,34.23949786800162,2.142424891812122
BULLY BOY DISTILLERS,65956.73,53798.64,12158.089999999995,18.116049269819612,0.9641101481730768
CALEDONIA SPIRITS INC,245754.96000000002,221250.02000000002,24504.939999999995,12.05126948000655,0.8975216673228678
CAMPARI AMERICA,5536096.97,4052963.68,1483133.2899999998,34.19774469118168,1.4472034102574383
CANDIA VINEYARDS,52623.33,36588.01,16035.319999999998,30.902774994971043,0.986001397926698
CAPSTONE INTERNATIONAL,246.86999999999998,54.64,192.22999999999996,77.86689350670393,3.25
CASTLE BRANDS CORP.,2269164.2399999998,1626446.23,642718.0099999999,40.263996243080726,1.6733672771240264
CENTEUR IMPORTS LLC,5559.349999999999,4292.83,1266.52,25.224470854670955,0.8869764765852818
CHARLES JACQUIN ET CIE INC,446020.41,325229.02,120791.38999999998,27.064781572857,1.0058216534910773
CONSTELLATION BRANDS INC,24218745.65,15273708.08,8945037.57,37.57171921867041,1.3590702063855442
CRUSH WINES,370561.89,220914.0,149647.88999999998,37.558271725583786,1.30459509137408
Circa Wines,30593.01,21538.53,9054.48,31.461140314322687,1.189055547675986
DELICATO VINEYARDS INC,2306542.38,1494318.8900000001,812223.4899999999,35.08384389504626,1.0562976214391913
DIAGEO CHATEAU ESTATE WINES,2115002.11,1279691.73,835310.38,38.069171432426536,1.2616336940082507
DIAGEO NORTH AMERICA INC,67990099.42,50097226.16,17892873.26,33.01277869113359,1.6521306222359005
DISARONNO INTERNATIONAL LLC,1725259.23,1141947.85,583311.38,43.0778070295654,16.89089547889431
DJINN SPIRITS LLC,49771.33,38735.329999999994,11036.000000000004,20.407487731794145,0.9048930656017081
DUGGANS DISTILLED PRODUCTS,159263.41,133190.34,26073.069999999992,35.68084945836175,1.756171097591176
Dunn Wine Brokers,68832.75,58381.75,10450.999999999998,25.887948100722653,0.9888341317358502
E & J GALLO WINERY,18399899.46,12068539.22,6331360.24,32.77364913884333,1.0878641770085011
EDRINGTON AMERICAS,2522278.35,1878614.18,643664.17,37.75816338681695,2.68165039179006
FABRIZIA SPIRITS LLC,232073.57,169240.0,62833.56999999999,28.75932748896807,1.0506932495264625
FANTASY FINE WINES CORP,327.59000000000003,128.64,198.95000000000005,60.73140205744987,1.7083333333333333
FLAG HILL WINERY & VINEYARD,411807.12,300403.2,111403.92,35.88602271431576,1.516396786885665
FLAVOR ESSENCE INC,1474.4099999999999,17.0,1457.4099999999999,98.84699642568891,59.0
FORTUNE WINE BROKERS LLC,68255.09,39273.75,28981.339999999997,40.151443671759594,1.4061022013227915
FREDERICK WILDMAN & SONS,1021533.87,602133.6799999999,419400.19,40.942393300118006,2.1994722659369095
FULCHINO VINEYARD INC,14441.64,11147.77,3293.87,22.922263515016358,0.8799569696645062
HAUNTING WHISPER VYDS,7325.889999999999,5388.58,1937.31,26.08442584328834,0.9134194297971221
HEAVEN HILL DISTILLERIES,3668728.51,2644130.1,1024598.4099999999,35.138925387776474,1.3975536747799344
HIGHLAND WINE MERCHANTS LLC,994.47,775.44,219.02999999999997,21.782636672216967,0.9027777777777778
"HOOD RIVER DISTILLERS, Inc.",29380.8,24035.96,5344.84,38.35038016842169,2.4667460317460317
INCREDIBREW INC,35508.520000000004,24525.84,10982.68,29.89536621365976,0.953225779731565
"IRA GOLDMAN AND WILLIAMS, LLP",665.82,190.88,474.94000000000005,71.33159112072333,2.25
JEWELL TOWNE VINEYARDS,85230.82,54332.37,30898.45,31.815042787944908,0.9106169727180212
JIM BEAM BRANDS COMPANY,31423020.46,23494304.32,7928716.14,33.929024483142236,2.4337655719135616
KLIN SPIRITS LLC,147675.94,103484.29,44191.649999999994,47.72505202742335,1.7778813448456305
KOBRAND CORPORATION,2791519.71,1741559.47,1049960.24,51.956082938500685,3.8261554361290147
LABELLE VYDS AND WINERY,198927.71,135621.05,63306.66,32.59778974973015,1.1134328348732587
